"date","mkt_rf","smb","hml","rf","Mom"
"1946-06-30",-0.0388202064,-0.0159507509,-0.0059567108,0.0002000190,-0.0241020977
"1946-07-31",-0.0268896747,-0.0193560333,0.0005327320,0.0002200231,-0.0001814824
"1946-08-31",-0.0651016511,-0.0190064488,0.0066767233,0.0002200231,0.0045085797
"1946-09-30",-0.1018566489,-0.0459378170,-0.0197837663,0.0002000190,0.0274715454
"1946-10-31",-0.0140185272,0.0016135187,0.0358733318,0.0002600325,-0.0024225071
"1946-11-30",-0.0002422875,-0.0037310819,0.0157606351,0.0002300253,0.0153102578
"1946-12-31",0.0496737707,0.0006326035,-0.0133571270,0.0002500300,0.0101937653
"1947-01-31",0.0124514991,0.0220090133,-0.0071288400,0.0002600325,-0.0662194471
"1947-02-28",-0.0116569489,0.0072301650,0.0014686733,0.0002200231,-0.0062736500
"1947-03-31",-0.0167740159,-0.0158666161,0.0061931243,0.0002600325,0.0298188171
"1947-04-30",-0.0480140014,-0.0408928829,0.0092779615,0.0002500300,0.0591571478
"1947-05-31",-0.0094701497,-0.0322198411,0.0040033284,0.0002500300,0.0437496182
"1947-06-30",0.0529117918,-0.0028067968,-0.0056499562,0.0002100210,-0.0127354778
"1947-07-31",0.0414573000,0.0145437631,0.0276574140,0.0002200231,-0.0315202836
"1947-08-31",-0.0174194878,0.0031602565,0.0020744127,0.0002100210,0.0147478949
"1947-09-30",-0.0054264587,0.0162735495,0.0138666091,0.0006301890,0.0061743247
"1947-10-31",0.0246978969,0.0053756922,0.0013497239,0.0005201300,0.0123537815
"1947-11-30",-0.0200517692,-0.0177117620,0.0113973906,0.0006602079,0.0398825558
"1947-12-31",0.0301362438,-0.0236907604,0.0370013227,0.0007802926,0.0307517718
"1948-01-31",-0.0392830967,0.0261551186,0.0142561034,0.0007502701,-0.0518261386
"1948-02-29",-0.0437264877,-0.0174419841,0.0014526928,0.0006602079,0.0125037095
"1948-03-31",0.0809670021,0.0014982883,0.0426411105,0.0007802926,-0.0001474098
"1948-04-30",0.0365408805,-0.0156612357,0.0404846574,0.0007802926,0.0397533770
"1948-05-31",0.0732620644,0.0088052039,-0.0116944665,0.0007202485,0.0014442049
"1948-06-30",-0.0010539267,-0.0184374140,0.0285368147,0.0008803697,0.0499202641
"1948-07-31",-0.0510933473,-0.0036673525,0.0014067045,0.0008403361,-0.0121635392
"1948-08-31",0.0025475915,-0.0113377348,0.0029818796,0.0008803697,0.0012062389
"1948-09-30",-0.0300250424,-0.0128039326,-0.0175503626,0.0004200840,0.0024409603
"1948-10-31",0.0597954680,-0.0141408694,0.0055803155,0.0005001200,0.0236658088
"1948-11-30",-0.0933374380,-0.0058640546,-0.0436419614,0.0004601012,-0.0019360931
"1948-12-31",0.0324504815,-0.0272953412,-0.0188029955,0.0005201300,0.0383326854
"1949-01-31",0.0022717957,0.0181792175,0.0118688715,0.0010004801,-0.0431537723
"1949-02-28",-0.0292747992,-0.0193617264,-0.0090909130,0.0008803697,-0.0090177569
"1949-03-31",0.0402455205,0.0237402593,0.0130742864,0.0010805618,-0.0286863633
"1949-04-30",-0.0186200278,-0.0087984358,-0.0118145575,0.0010004801,0.0402039803
"1949-05-31",-0.0296217560,-0.0078263799,-0.0247547700,0.0009604417,0.0338747083
"1949-06-30",0.0012376624,-0.0086283151,-0.0173116108,0.0008803697,-0.0021946401
"1949-07-31",0.0553697977,0.0052952253,0.0035816642,0.0008003041,-0.0232303202
"1949-08-31",0.0259576349,0.0011214550,-0.0053987979,0.0009204049,0.0091560789
"1949-09-30",0.0307899068,0.0101954844,0.0027685325,0.0008403361,-0.0170558196
"1949-10-31",0.0315133508,0.0100925447,-0.0045900873,0.0010004801,-0.0034497471
"1949-11-30",0.0186033855,-0.0091194742,-0.0088577330,0.0009204049,0.0158582784
"1949-12-31",0.0510390628,0.0198322556,0.0166756462,0.0010004801,-0.0164388055
"1950-01-31",0.0172444920,0.0330510420,0.0023840090,0.0010004801,-0.0273901399
"1950-02-28",0.0146604258,0.0001580425,-0.0078862744,0.0008803697,0.0103010121
"1950-03-31",0.0127019285,-0.0142702512,-0.0273930762,0.0010805618,0.0139310735
"1950-04-30",0.0393655976,0.0192136781,0.0129952672,0.0009604417,0.0204400198
